i	project	covered	total	percentual	original
52	harberger-ads-contracts	2	28	7.14	0
53	harberger-ads-contracts	2	28	7.14	0
54	harberger-ads-contracts	2	28	7.14	0
55	harberger-ads-contracts	2	28	7.14	0
56	harberger-ads-contracts	2	28	7.14	0
57	harberger-ads-contracts	2	28	7.14	0
58	harberger-ads-contracts	2	28	7.14	0
59	harberger-ads-contracts	2	28	7.14	0
0	king	20	36	55.56	33.33
1	king	21	36	58.33	33.33
2	king	20	36	55.56	33.33
3	king	19	36	52.78	33.33
4	king	20	36	55.56	33.33
5	king	19	36	52.78	33.33
6	king	20	36	55.56	33.33
7	king	20	36	55.56	33.33
8	king	19	36	52.78	33.33
9	king	21	36	58.33	33.33
10	king	21	36	58.33	33.33
11	king	20	36	55.56	33.33
12	king	20	36	55.56	33.33
13	king	20	36	55.56	33.33
14	king	20	36	55.56	33.33
15	king	21	36	58.33	33.33
16	king	23	36	63.89	33.33
17	king	19	36	52.78	33.33
18	king	20	36	55.56	33.33
19	king	21	36	58.33	33.33
20	king	21	36	58.33	33.33
21	king	20	36	55.56	33.33
22	king	20	36	55.56	33.33
23	king	20	36	55.56	33.33
24	king	20	36	55.56	33.33
25	king	21	36	58.33	33.33
26	king	19	36	52.78	33.33
27	king	21	36	58.33	33.33
28	king	21	36	58.33	33.33
29	king	20	36	55.56	33.33
0	left-gallery-token	24	64	37.5	9.38
1	left-gallery-token	24	64	37.5	9.38
2	left-gallery-token	24	64	37.5	9.38
3	left-gallery-token	24	64	37.5	9.38
4	left-gallery-token	24	64	37.5	9.38
5	left-gallery-token	24	64	37.5	9.38
6	left-gallery-token	24	64	37.5	9.38
7	left-gallery-token	24	64	37.5	9.38
8	left-gallery-token	24	64	37.5	9.38
9	left-gallery-token	24	64	37.5	9.38
10	left-gallery-token	24	64	37.5	9.38
11	left-gallery-token	24	64	37.5	9.38
12	left-gallery-token	24	64	37.5	9.38
13	left-gallery-token	24	64	37.5	9.38
14	left-gallery-token	24	64	37.5	9.38
15	left-gallery-token	24	64	37.5	9.38
16	left-gallery-token	24	64	37.5	9.38
17	left-gallery-token	24	64	37.5	9.38
18	left-gallery-token	24	64	37.5	9.38
19	left-gallery-token	24	64	37.5	9.38
20	left-gallery-token	24	64	37.5	9.38
21	left-gallery-token	24	64	37.5	9.38
22	left-gallery-token	24	64	37.5	9.38
23	left-gallery-token	24	64	37.5	9.38
24	left-gallery-token	24	64	37.5	9.38
25	left-gallery-token	24	64	37.5	9.38
26	left-gallery-token	24	64	37.5	9.38
27	left-gallery-token	24	64	37.5	9.38
28	left-gallery-token	24	64	37.5	9.38
29	left-gallery-token	24	64	37.5	9.38
0	liquid	17	32	53.13	34.38
1	liquid	16	32	50	34.38
2	liquid	15	32	46.88	34.38
3	liquid	14	32	43.75	34.38
4	liquid	13	32	40.63	34.38
5	liquid	15	32	46.88	34.38
6	liquid	14	32	43.75	34.38
7	liquid	17	32	53.13	34.38
8	liquid	14	32	43.75	34.38
9	liquid	11	32	34.38	34.38
10	liquid	18	32	56.25	34.38
11	liquid	16	32	50	34.38
12	liquid	14	32	43.75	34.38
13	liquid	17	32	53.13	34.38
14	liquid	17	32	53.13	34.38
15	liquid	15	32	46.88	34.38
16	liquid	16	32	50	34.38
17	liquid	14	32	43.75	34.38
18	liquid	17	32	53.13	34.38
19	liquid	15	32	46.88	34.38
20	liquid	15	32	46.88	34.38
21	liquid	17	32	53.13	34.38
22	liquid	16	32	50	34.38
23	liquid	17	32	53.13	34.38
24	liquid	15	32	46.88	34.38
25	liquid	16	32	50	34.38
26	liquid	16	32	50	34.38
27	liquid	16	32	50	34.38
28	liquid	16	32	50	34.38
29	liquid	18	32	56.25	34.38
0	minime	25	70	35.71	51.43
1	minime	27	70	38.57	51.43
2	minime	25	70	35.71	51.43
3	minime	25	70	35.71	51.43
4	minime	25	70	35.71	51.43
5	minime	25	70	35.71	51.43
6	minime	27	70	38.57	51.43
7	minime	25	70	35.71	51.43
8	minime	22	70	31.43	51.43
9	minime	27	70	38.57	51.43
10	minime	27	70	38.57	51.43
11	minime	27	70	38.57	51.43
12	minime	25	70	35.71	51.43
13	minime	28	70	40	51.43
14	minime	27	70	38.57	51.43
15	minime	25	70	35.71	51.43
16	minime	27	70	38.57	51.43
17	minime	25	70	35.71	51.43
18	minime	25	70	35.71	51.43
19	minime	27	70	38.57	51.43
20	minime	27	70	38.57	51.43
21	minime	25	70	35.71	51.43
22	minime	27	70	38.57	51.43
23	minime	25	70	35.71	51.43
24	minime	27	70	38.57	51.43
25	minime	27	70	38.57	51.43
26	minime	24	70	34.29	51.43
27	minime	25	70	35.71	51.43
28	minime	25	70	35.71	51.43
29	minime	25	70	35.71	51.43
0	mvp	3	8	37.5	75
1	mvp	3	8	37.5	75
2	mvp	3	8	37.5	75
3	mvp	3	8	37.5	75
4	mvp	3	8	37.5	75
5	mvp	3	8	37.5	75
6	mvp	3	8	37.5	75
7	mvp	3	8	37.5	75
8	mvp	3	8	37.5	75
9	mvp	3	8	37.5	75
10	mvp	3	8	37.5	75
11	mvp	3	8	37.5	75
12	mvp	3	8	37.5	75
13	mvp	3	8	37.5	75
14	mvp	3	8	37.5	75
15	mvp	3	8	37.5	75
16	mvp	3	8	37.5	75
17	mvp	3	8	37.5	75
18	mvp	3	8	37.5	75
19	mvp	3	8	37.5	75
20	mvp	3	8	37.5	75
21	mvp	3	8	37.5	75
22	mvp	3	8	37.5	75
23	mvp	3	8	37.5	75
24	mvp	3	8	37.5	75
25	mvp	3	8	37.5	75
26	mvp	3	8	37.5	75
27	mvp	3	8	37.5	75
28	mvp	3	8	37.5	75
29	mvp	3	8	37.5	75
0	noia-token	25	52	48.08	71.15
1	noia-token	25	52	48.08	71.15
2	noia-token	25	52	48.08	71.15
3	noia-token	25	52	48.08	71.15
4	noia-token	25	52	48.08	71.15
5	noia-token	25	52	48.08	71.15
6	noia-token	28	52	53.85	71.15
7	noia-token	25	52	48.08	71.15
8	noia-token	25	52	48.08	71.15
9	noia-token	25	52	48.08	71.15
10	noia-token	25	52	48.08	71.15
11	noia-token	25	52	48.08	71.15
12	noia-token	25	52	48.08	71.15
13	noia-token	25	52	48.08	71.15
14	noia-token	25	52	48.08	71.15
15	noia-token	25	52	48.08	71.15
16	noia-token	25	52	48.08	71.15
17	noia-token	25	52	48.08	71.15
18	noia-token	25	52	48.08	71.15
19	noia-token	25	52	48.08	71.15
20	noia-token	28	52	53.85	71.15
21	noia-token	25	52	48.08	71.15
22	noia-token	25	52	48.08	71.15
23	noia-token	28	52	53.85	71.15
24	noia-token	28	52	53.85	71.15
25	noia-token	25	52	48.08	71.15
26	noia-token	25	52	48.08	71.15
27	noia-token	25	52	48.08	71.15
28	noia-token	25	52	48.08	71.15
29	noia-token	25	52	48.08	71.15
0	ponyBadges	20	34	58.82	29.41
1	ponyBadges	20	34	58.82	29.41
2	ponyBadges	20	34	58.82	29.41
3	ponyBadges	20	34	58.82	29.41
4	ponyBadges	17	34	50	29.41
5	ponyBadges	19	34	55.88	29.41
6	ponyBadges	21	34	61.76	29.41
7	ponyBadges	22	34	64.71	29.41
8	ponyBadges	21	34	61.76	29.41
9	ponyBadges	20	34	58.82	29.41
10	ponyBadges	20	34	58.82	29.41
11	ponyBadges	17	34	50	29.41
12	ponyBadges	20	34	58.82	29.41
13	ponyBadges	21	34	61.76	29.41
14	ponyBadges	20	34	58.82	29.41
15	ponyBadges	22	34	64.71	29.41
16	ponyBadges	21	34	61.76	29.41
17	ponyBadges	20	34	58.82	29.41
18	ponyBadges	22	34	64.71	29.41
19	ponyBadges	20	34	58.82	29.41
20	ponyBadges	20	34	58.82	29.41
21	ponyBadges	20	34	58.82	29.41
22	ponyBadges	17	34	50	29.41
23	ponyBadges	21	34	61.76	29.41
24	ponyBadges	20	34	58.82	29.41
25	ponyBadges	21	34	61.76	29.41
26	ponyBadges	19	34	55.88	29.41
27	ponyBadges	20	34	58.82	29.41
28	ponyBadges	20	34	58.82	29.41
29	ponyBadges	21	34	61.76	29.41
0	real-estate-marketplace	97	260	37.31	11.54
1	real-estate-marketplace	91	260	35	11.54
2	real-estate-marketplace	90	260	34.62	11.54
3	real-estate-marketplace	98	260	37.69	11.54
4	real-estate-marketplace	95	260	36.54	11.54
5	real-estate-marketplace	92	260	35.38	11.54
6	real-estate-marketplace	89	260	34.23	11.54
7	real-estate-marketplace	90	260	34.62	11.54
8	real-estate-marketplace	92	260	35.38	11.54
9	real-estate-marketplace	88	260	33.85	11.54
10	real-estate-marketplace	99	260	38.08	11.54
11	real-estate-marketplace	98	260	37.69	11.54
12	real-estate-marketplace	97	260	37.31	11.54
13	real-estate-marketplace	97	260	37.31	11.54
14	real-estate-marketplace	88	260	33.85	11.54
15	real-estate-marketplace	93	260	35.77	11.54
16	real-estate-marketplace	95	260	36.54	11.54
17	real-estate-marketplace	93	260	35.77	11.54
18	real-estate-marketplace	101	260	38.85	11.54
19	real-estate-marketplace	101	260	38.85	11.54
20	real-estate-marketplace	91	260	35	11.54
21	real-estate-marketplace	93	260	35.77	11.54
22	real-estate-marketplace	91	260	35	11.54
23	real-estate-marketplace	100	260	38.46	11.54
24	real-estate-marketplace	95	260	36.54	11.54
25	real-estate-marketplace	96	260	36.92	11.54
26	real-estate-marketplace	93	260	35.77	11.54
27	real-estate-marketplace	93	260	35.77	11.54
28	real-estate-marketplace	93	260	35.77	11.54
29	real-estate-marketplace	93	260	35.77	11.54
0	secretstore-acl	3	6	50	100
1	secretstore-acl	3	6	50	100
2	secretstore-acl	3	6	50	100
3	secretstore-acl	3	6	50	100
4	secretstore-acl	3	6	50	100
5	secretstore-acl	3	6	50	100
6	secretstore-acl	3	6	50	100
7	secretstore-acl	3	6	50	100
8	secretstore-acl	3	6	50	100
9	secretstore-acl	3	6	50	100
10	secretstore-acl	3	6	50	100
11	secretstore-acl	3	6	50	100
12	secretstore-acl	3	6	50	100
13	secretstore-acl	3	6	50	100
14	secretstore-acl	3	6	50	100
15	secretstore-acl	3	6	50	100
16	secretstore-acl	3	6	50	100
17	secretstore-acl	3	6	50	100
18	secretstore-acl	3	6	50	100
19	secretstore-acl	3	6	50	100
20	secretstore-acl	3	6	50	100
21	secretstore-acl	3	6	50	100
22	secretstore-acl	3	6	50	100
23	secretstore-acl	3	6	50	100
24	secretstore-acl	3	6	50	100
25	secretstore-acl	3	6	50	100
26	secretstore-acl	3	6	50	100
27	secretstore-acl	3	6	50	100
28	secretstore-acl	3	6	50	100
29	secretstore-acl	3	6	50	100
0	securities	52	166	31.33	43.98
1	securities	59	166	35.54	43.98
2	securities	47	166	28.31	43.98
3	securities	47	166	28.31	43.98
4	securities	49	166	29.52	43.98
5	securities	51	166	30.72	43.98
6	securities	47	166	28.31	43.98
7	securities	49	166	29.52	43.98
8	securities	53	166	31.93	43.98
9	securities	53	166	31.93	43.98
10	securities	51	166	30.72	43.98
11	securities	56	166	33.73	43.98
12	securities	61	166	36.75	43.98
13	securities	50	166	30.12	43.98
14	securities	46	166	27.71	43.98
15	securities	51	166	30.72	43.98
16	securities	52	166	31.33	43.98
17	securities	55	166	33.13	43.98
18	securities	48	166	28.92	43.98
19	securities	51	166	30.72	43.98
20	securities	48	166	28.92	43.98
21	securities	51	166	30.72	43.98
22	securities	60	166	36.14	43.98
23	securities	53	166	31.93	43.98
24	securities	57	166	34.34	43.98
25	securities	49	166	29.52	43.98
26	securities	50	166	30.12	43.98
27	securities	56	166	33.73	43.98
28	securities	58	166	34.94	43.98
29	securities	52	166	31.33	43.98
0	simple-shared-wallet	45	60	75	73.33
1	simple-shared-wallet	45	60	75	73.33
2	simple-shared-wallet	45	60	75	73.33
3	simple-shared-wallet	45	60	75	73.33
4	simple-shared-wallet	43	60	71.67	73.33
5	simple-shared-wallet	45	60	75	73.33
6	simple-shared-wallet	44	60	73.33	73.33
7	simple-shared-wallet	44	60	73.33	73.33
8	simple-shared-wallet	43	60	71.67	73.33
9	simple-shared-wallet	45	60	75	73.33
10	simple-shared-wallet	45	60	75	73.33
11	simple-shared-wallet	44	60	73.33	73.33
12	simple-shared-wallet	45	60	75	73.33
13	simple-shared-wallet	45	60	75	73.33
14	simple-shared-wallet	45	60	75	73.33
15	simple-shared-wallet	45	60	75	73.33
16	simple-shared-wallet	44	60	73.33	73.33
17	simple-shared-wallet	45	60	75	73.33
18	simple-shared-wallet	44	60	73.33	73.33
19	simple-shared-wallet	44	60	73.33	73.33
20	simple-shared-wallet	45	60	75	73.33
21	simple-shared-wallet	45	60	75	73.33
22	simple-shared-wallet	45	60	75	73.33
23	simple-shared-wallet	45	60	75	73.33
24	simple-shared-wallet	44	60	73.33	73.33
25	simple-shared-wallet	43	60	71.67	73.33
26	simple-shared-wallet	44	60	73.33	73.33
27	simple-shared-wallet	45	60	75	73.33
28	simple-shared-wallet	45	60	75	73.33
29	simple-shared-wallet	45	60	75	73.33
0	solidity-sigutils	6	8	75	62.6
1	solidity-sigutils	6	8	75	62.6
2	solidity-sigutils	6	8	75	62.6
3	solidity-sigutils	6	8	75	62.6
4	solidity-sigutils	6	8	75	62.6
5	solidity-sigutils	6	8	75	62.6
6	solidity-sigutils	6	8	75	62.6
7	solidity-sigutils	6	8	75	62.6
8	solidity-sigutils	6	8	75	62.6
9	solidity-sigutils	6	8	75	62.6
10	solidity-sigutils	6	8	75	62.6
11	solidity-sigutils	6	8	75	62.6
12	solidity-sigutils	6	8	75	62.6
13	solidity-sigutils	6	8	75	62.6
14	solidity-sigutils	6	8	75	62.6
15	solidity-sigutils	6	8	75	62.6
16	solidity-sigutils	6	8	75	62.6
17	solidity-sigutils	6	8	75	62.6
18	solidity-sigutils	6	8	75	62.6
19	solidity-sigutils	6	8	75	62.6
20	solidity-sigutils	6	8	75	62.6
21	solidity-sigutils	6	8	75	62.6
22	solidity-sigutils	6	8	75	62.6
23	solidity-sigutils	6	8	75	62.6
24	solidity-sigutils	6	8	75	62.6
25	solidity-sigutils	6	8	75	62.6
26	solidity-sigutils	6	8	75	62.6
27	solidity-sigutils	6	8	75	62.6
28	solidity-sigutils	6	8	75	62.6
29	solidity-sigutils	6	8	75	62.6
0	splitter	23	30	76.67	53.33
1	splitter	24	30	80	53.33
2	splitter	24	30	80	53.33
3	splitter	23	30	76.67	53.33
4	splitter	24	30	80	53.33
5	splitter	23	30	76.67	53.33
6	splitter	24	30	80	53.33
7	splitter	24	30	80	53.33
8	splitter	24	30	80	53.33
9	splitter	23	30	76.67	53.33
10	splitter	24	30	80	53.33
11	splitter	23	30	76.67	53.33
12	splitter	24	30	80	53.33
13	splitter	23	30	76.67	53.33
14	splitter	24	30	80	53.33
15	splitter	23	30	76.67	53.33
16	splitter	24	30	80	53.33
17	splitter	23	30	76.67	53.33
18	splitter	24	30	80	53.33
19	splitter	24	30	80	53.33
20	splitter	23	30	76.67	53.33
21	splitter	23	30	76.67	53.33
22	splitter	24	30	80	53.33
23	splitter	22	30	73.33	53.33
24	splitter	22	30	73.33	53.33
25	splitter	23	30	76.67	53.33
26	splitter	23	30	76.67	53.33
27	splitter	23	30	76.67	53.33
28	splitter	23	30	76.67	53.33
29	splitter	24	30	80	53.33
0	swaps	24	56	42.86	69.64
1	swaps	14	56	25	69.64
2	swaps	14	56	25	69.64
3	swaps	24	56	42.86	69.64
4	swaps	14	56	25	69.64
5	swaps	14	56	25	69.64
6	swaps	14	56	25	69.64
7	swaps	14	56	25	69.64
8	swaps	21	56	37.5	69.64
9	swaps	16	56	28.57	69.64
10	swaps	22	56	39.29	69.64
11	swaps	14	56	25	69.64
12	swaps	22	56	39.29	69.64
13	swaps	14	56	25	69.64
14	swaps	14	56	25	69.64
15	swaps	14	56	25	69.64
16	swaps	23	56	41.07	69.64
17	swaps	14	56	25	69.64
18	swaps	22	56	39.29	69.64
19	swaps	14	56	25	69.64
20	swaps	16	56	28.57	69.64
21	swaps	22	56	39.29	69.64
22	swaps	14	56	25	69.64
23	swaps	16	56	28.57	69.64
24	swaps	14	56	25	69.64
25	swaps	22	56	39.29	69.64
26	swaps	21	56	37.5	69.64
27	swaps	14	56	25	69.64
28	swaps	21	56	37.5	69.64
29	swaps	14	56	25	69.64
0	swaps2	17	92	18.48	50
1	swaps2	17	92	18.48	50
2	swaps2	17	92	18.48	50
3	swaps2	17	92	18.48	50
4	swaps2	17	92	18.48	50
5	swaps2	17	92	18.48	50
6	swaps2	17	92	18.48	50
7	swaps2	17	92	18.48	50
8	swaps2	17	92	18.48	50
9	swaps2	17	92	18.48	50
10	swaps2	17	92	18.48	50
11	swaps2	17	92	18.48	50
12	swaps2	17	92	18.48	50
13	swaps2	17	92	18.48	50
14	swaps2	17	92	18.48	50
15	swaps2	17	92	18.48	50
16	swaps2	17	92	18.48	50
17	swaps2	17	92	18.48	50
18	swaps2	17	92	18.48	50
19	swaps2	17	92	18.48	50
20	swaps2	17	92	18.48	50
21	swaps2	17	92	18.48	50
22	swaps2	17	92	18.48	50
23	swaps2	17	92	18.48	50
24	swaps2	17	92	18.48	50
25	swaps2	17	92	18.48	50
26	swaps2	17	92	18.48	50
27	swaps2	17	92	18.48	50
28	swaps2	17	92	18.48	50
29	swaps2	17	92	18.48	50
0	token	23	42	54.76	34.09
1	token	27	42	64.29	34.09
2	token	21	42	50	34.09
3	token	23	42	54.76	34.09
4	token	22	42	52.38	34.09
5	token	23	42	54.76	34.09
6	token	26	42	61.9	34.09
7	token	23	42	54.76	34.09
8	token	23	42	54.76	34.09
9	token	16	42	38.1	34.09
10	token	24	42	57.14	34.09
11	token	25	42	59.52	34.09
12	token	23	42	54.76	34.09
13	token	23	42	54.76	34.09
14	token	27	42	64.29	34.09
15	token	28	42	66.67	34.09
16	token	22	42	52.38	34.09
17	token	26	42	61.9	34.09
18	token	21	42	50	34.09
19	token	22	42	52.38	34.09
20	token	21	42	50	34.09
21	token	25	42	59.52	34.09
22	token	26	42	61.9	34.09
23	token	26	42	61.9	34.09
24	token	21	42	50	34.09
25	token	23	42	54.76	34.09
26	token	24	42	57.14	34.09
27	token	22	42	52.38	34.09
28	token	23	42	54.76	34.09
29	token	22	42	52.38	34.09
0	trickle-smart-contracts	12	26	46.15	92.31
1	trickle-smart-contracts	12	26	46.15	92.31
2	trickle-smart-contracts	12	26	46.15	92.31
3	trickle-smart-contracts	12	26	46.15	92.31
4	trickle-smart-contracts	12	26	46.15	92.31
5	trickle-smart-contracts	12	26	46.15	92.31
6	trickle-smart-contracts	12	26	46.15	92.31
7	trickle-smart-contracts	12	26	46.15	92.31
8	trickle-smart-contracts	12	26	46.15	92.31
9	trickle-smart-contracts	12	26	46.15	92.31
10	trickle-smart-contracts	12	26	46.15	92.31
11	trickle-smart-contracts	12	26	46.15	92.31
12	trickle-smart-contracts	12	26	46.15	92.31
13	trickle-smart-contracts	12	26	46.15	92.31
14	trickle-smart-contracts	12	26	46.15	92.31
15	trickle-smart-contracts	12	26	46.15	92.31
16	trickle-smart-contracts	12	26	46.15	92.31
17	trickle-smart-contracts	12	26	46.15	92.31
18	trickle-smart-contracts	12	26	46.15	92.31
19	trickle-smart-contracts	12	26	46.15	92.31
20	trickle-smart-contracts	12	26	46.15	92.31
21	trickle-smart-contracts	12	26	46.15	92.31
22	trickle-smart-contracts	12	26	46.15	92.31
23	trickle-smart-contracts	12	26	46.15	92.31
24	trickle-smart-contracts	12	26	46.15	92.31
25	trickle-smart-contracts	12	26	46.15	92.31
26	trickle-smart-contracts	12	26	46.15	92.31
27	trickle-smart-contracts	12	26	46.15	92.31
28	trickle-smart-contracts	12	26	46.15	92.31
29	trickle-smart-contracts	12	26	46.15	92.31
0	truffle	57	170	33.53	9.41
1	truffle	56	170	32.94	9.41
2	truffle	54	170	31.76	9.41
3	truffle	58	170	34.12	9.41
4	truffle	57	170	33.53	9.41
5	truffle	54	170	31.76	9.41
6	truffle	55	170	32.35	9.41
7	truffle	53	170	31.18	9.41
8	truffle	60	170	35.29	9.41
9	truffle	55	170	32.35	9.41
10	truffle	54	170	31.76	9.41
11	truffle	56	170	32.94	9.41
12	truffle	52	170	30.59	9.41
13	truffle	55	170	32.35	9.41
14	truffle	57	170	33.53	9.41
15	truffle	56	170	32.94	9.41
16	truffle	54	170	31.76	9.41
17	truffle	58	170	34.12	9.41
18	truffle	54	170	31.76	9.41
19	truffle	55	170	32.35	9.41
20	truffle	57	170	33.53	9.41
21	truffle	53	170	31.18	9.41
22	truffle	55	170	32.35	9.41
23	truffle	55	170	32.35	9.41
24	truffle	57	170	33.53	9.41
25	truffle	53	170	31.18	9.41
26	truffle	55	170	32.35	9.41
27	truffle	58	170	34.12	9.41
28	truffle	57	170	33.53	9.41
29	truffle	58	170	34.12	9.41
0	try-catch-solidity	23	26	88.46	38.46
1	try-catch-solidity	23	26	88.46	38.46
2	try-catch-solidity	23	26	88.46	38.46
3	try-catch-solidity	23	26	88.46	38.46
4	try-catch-solidity	24	26	92.31	38.46
5	try-catch-solidity	23	26	88.46	38.46
6	try-catch-solidity	23	26	88.46	38.46
7	try-catch-solidity	23	26	88.46	38.46
8	try-catch-solidity	23	26	88.46	38.46
9	try-catch-solidity	23	26	88.46	38.46
10	try-catch-solidity	23	26	88.46	38.46
11	try-catch-solidity	23	26	88.46	38.46
12	try-catch-solidity	23	26	88.46	38.46
13	try-catch-solidity	23	26	88.46	38.46
14	try-catch-solidity	23	26	88.46	38.46
15	try-catch-solidity	23	26	88.46	38.46
16	try-catch-solidity	23	26	88.46	38.46
17	try-catch-solidity	23	26	88.46	38.46
18	try-catch-solidity	23	26	88.46	38.46
19	try-catch-solidity	24	26	92.31	38.46
20	try-catch-solidity	23	26	88.46	38.46
21	try-catch-solidity	24	26	92.31	38.46
22	try-catch-solidity	23	26	88.46	38.46
23	try-catch-solidity	24	26	92.31	38.46
24	try-catch-solidity	24	26	92.31	38.46
25	try-catch-solidity	23	26	88.46	38.46
26	try-catch-solidity	23	26	88.46	38.46
27	try-catch-solidity	23	26	88.46	38.46
28	try-catch-solidity	23	26	88.46	38.46
29	try-catch-solidity	23	26	88.46	38.46
0	vvisp-klaytn-sample	22	24	91.67	20.83
1	vvisp-klaytn-sample	22	24	91.67	20.83
2	vvisp-klaytn-sample	22	24	91.67	20.83
3	vvisp-klaytn-sample	22	24	91.67	20.83
4	vvisp-klaytn-sample	22	24	91.67	20.83
5	vvisp-klaytn-sample	22	24	91.67	20.83
6	vvisp-klaytn-sample	22	24	91.67	20.83
7	vvisp-klaytn-sample	22	24	91.67	20.83
8	vvisp-klaytn-sample	22	24	91.67	20.83
9	vvisp-klaytn-sample	22	24	91.67	20.83
10	vvisp-klaytn-sample	22	24	91.67	20.83
11	vvisp-klaytn-sample	22	24	91.67	20.83
12	vvisp-klaytn-sample	22	24	91.67	20.83
13	vvisp-klaytn-sample	22	24	91.67	20.83
14	vvisp-klaytn-sample	22	24	91.67	20.83
15	vvisp-klaytn-sample	22	24	91.67	20.83
16	vvisp-klaytn-sample	22	24	91.67	20.83
17	vvisp-klaytn-sample	22	24	91.67	20.83
18	vvisp-klaytn-sample	22	24	91.67	20.83
19	vvisp-klaytn-sample	22	24	91.67	20.83
20	vvisp-klaytn-sample	22	24	91.67	20.83
21	vvisp-klaytn-sample	22	24	91.67	20.83
22	vvisp-klaytn-sample	22	24	91.67	20.83
23	vvisp-klaytn-sample	22	24	91.67	20.83
24	vvisp-klaytn-sample	22	24	91.67	20.83
25	vvisp-klaytn-sample	22	24	91.67	20.83
26	vvisp-klaytn-sample	22	24	91.67	20.83
27	vvisp-klaytn-sample	22	24	91.67	20.83
28	vvisp-klaytn-sample	22	24	91.67	20.83
29	vvisp-klaytn-sample	22	24	91.67	20.83
